Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary_USD,PTS,TRB,AST,STL,BLK,TOV,Cost_Per_WS,Performance_Trajectory,PNS,Salary_Gap
JAMAL SHEAD,22,TOR,PG,75,11,1467,9.9,0.499,0.442,0.137,2.1,6.4,4.2,29.8,1.9,0.7,18,18.6,-0.2,1.1,0.8,0.027,-3.2,-0.9,-4.1,-0.8,1862265,5,1.2,3.4,0.6,0.1,1.5,2327831.3,Rising - Below Avg,3.18,-808930.976
AARON GORDON,29,DEN,PF,51,42,1447,17,0.65,0.346,0.36,6.4,12.1,9.4,15,0.8,0.9,11.3,19,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2,22841455,13.7,5.8,3.1,0.5,0.2,1.4,5311966.3,Peak - Above Avg,4.905,8483776.629
ISAIAH STEWART,23,DET,C,72,4,1434,14.6,0.616,0.168,0.276,10.1,20.6,15.4,11.3,0.9,6.7,16.1,12.4,2.1,2.2,4.3,0.144,-1.6,2.1,0.6,0.9,15000000,5.9,6,1.8,0.5,1.2,1,3488372.1,Rising - Above Avg,3.715,642321.6287
BRICE SENSABAUGH,21,UTA,SF,71,15,1432,13.4,0.612,0.621,0.122,3.2,12.6,7.9,12,1.5,0.5,14.5,21.5,0.9,0.3,1.2,0.042,0.4,-1.6,-1.2,0.3,2571480,7.8,2.6,1.3,0.6,0.1,1.4,2142900,Rising - Below Avg,3.35,-1435313.964
GOGA BITADZE,25,ORL,C,70,42,1430,19.2,0.631,0.083,0.392,12.7,25,18.6,14.8,1.7,6.6,15.3,14.3,2.8,3,5.8,0.195,-0.3,2.8,2.5,1.6,9057971,9.9,8.5,2.4,0.9,1.6,1.5,1561719.1,Rising - Above Avg,5.57,-10308199.83
KEL'EL WARE,20,MIA,C,64,36,1422,17.4,0.603,0.239,0.144,9.1,27.5,18.4,6.5,1.4,4.8,10.4,17.2,1.7,2.5,4.1,0.14,-0.7,0.6,-0.1,0.7,4231800,5.2,2.5,0.4,0.4,0.8,0.5,1032146.3,Rising - Above Avg,2.215,-9458079.377
TARI EASON,23,HOU,PF,57,16,1420,18.5,0.567,0.329,0.186,9.4,17.9,13.6,8.5,3.3,3.2,9.7,19.4,2.1,2.9,5,0.169,1,2.6,3.6,2,3695160,11.3,6.3,1,1.9,1,0.8,739032,Rising - Above Avg,5.05,-12999814.85
ZACH EDEY,22,MEM,C,66,55,1416,18.2,0.624,0.12,0.293,17.5,23.4,20.5,6.1,1.2,5.5,15.3,16.4,2.7,2.2,4.9,0.165,-0.2,0.1,-0.1,0.7,5756880,11.1,8,1,0.8,1.1,1.6,1174873.5,Rising - Above Avg,5.47,-10604195.35
T.J. MCCONNELL,32,IND,PG,79,1,1415,18.4,0.547,0.079,0.123,3.5,11.6,7.6,37,2.8,1.3,14.2,23.4,1.5,1.7,3.2,0.109,0.6,0.6,1.2,1.2,9300000,10.8,2.6,4.3,1.2,0.3,1.6,2906250,Veteran - Above Avg,5.785,-1384783.904
TERANCE MANN,28,TOT,SG,67,13,1414,12,0.584,0.395,0.165,5.3,10.4,7.8,11.7,1.6,1,9.6,14.7,1.7,1.3,3,0.101,-1.4,0,-1.3,0.2,11423077,6.3,3.1,1.7,1,0.2,0.6,3807692.3,Peak - Below Avg,3.31,1406092.09
RYAN DUNN,22,PHO,SF,74,44,1410,10.7,0.517,0.553,0.082,7.5,13.5,10.6,5.7,1.5,2.7,7.5,16.7,0.2,0.7,1,0.034,-2.9,-1.2,-4.1,-0.7,2530800,6.3,2.9,0.9,0.6,0.7,0.5,2530800,Rising - Below Avg,2.955,-808194.9701
SAM MERRILL,28,CLE,SG,71,4,1401,11.1,0.583,0.868,0.068,3,8.9,6.1,9.6,1.8,0.9,7.4,14.3,1.8,1.5,3.3,0.113,-0.4,0.7,0.3,0.8,2164993,7,1.8,1.6,0.6,0.2,0.5,656058.5,Peak - Above Avg,3.31,-8853690.401
AYO DOSUNMU,25,CHI,SG,46,26,1394,12.8,0.585,0.421,0.176,2,10,6.1,20.2,1.4,1.1,12.5,16.6,1.6,1,2.5,0.087,-1.4,-0.2,-1.6,0.1,7000000,12.6,3.9,4.8,0.8,0.5,1.3,2800000,Rising - Above Avg,6.64,-1347487.425
TY JEROME,27,CLE,SG,70,3,1392,21,0.643,0.409,0.239,4,9.3,6.7,24.5,2.7,0.2,11.9,23.6,4.2,1.8,5.9,0.204,3.5,0.8,4.3,2.2,2560975,10.1,2.2,3.5,1.1,0,1.1,434063.6,Peak - Above Avg,5.2,-17139095.32
JULIAN STRAWTHER,22,DEN,SG,65,4,1384,9.5,0.559,0.553,0.185,1.4,9.5,5.6,7.6,1.4,1,9.8,17.8,0.5,0.8,1.3,0.043,-3.1,-1.4,-4.5,-0.9,2552520,9.1,2.2,1.3,0.7,0.4,0.8,1963476.9,Rising - Below Avg,4,-1788173.461
NICK SMITH JR.,20,CHO,SG,60,27,1369,8.3,0.502,0.539,0.081,1,9.1,5,16.7,0.6,0.4,12.2,20.8,-0.9,0.3,-0.5,-0.019,-3.2,-2.6,-5.7,-1.3,2587200,3.1,0.9,0.7,0.3,0.1,0.2,N/A,Rising - Below Avg,1.48,N/A
JAIME JAQUEZ JR.,23,MIA,SF,66,17,1368,14.3,0.543,0.258,0.307,6.8,16.5,11.7,17.9,2.2,1,15.7,20.2,0.5,1.8,2.3,0.081,-1.4,0.5,-0.9,0.4,3685800,8.4,4.6,2.3,1.1,0.1,1.4,1602521.7,Rising - Above Avg,4.305,-3993888.431
NICOLAS BATUM,36,LAC,PF,78,8,1367,10.3,0.633,0.853,0.088,4,14,9,7.8,1.9,2.6,12.1,9,1.5,2,3.5,0.124,-1.2,2,0.8,1,4668000,3.4,2.8,1.6,0.6,0.4,0.6,1333714.3,Veteran - Above Avg,1.87,-7018482.395
JOSE ALVARADO,26,NOP,PG,56,23,1366,13.4,0.523,0.593,0.142,2.1,8.9,5.4,27.3,2.6,1,13.4,19.8,0.7,0.5,1.2,0.043,-0.6,-0.8,-1.4,0.2,1988598,10.3,2.2,4.3,1.7,0.3,1.2,1657165,Peak - Below Avg,5.67,-2018195.964
JEREMY SOCHAN,21,SAS,PF,54,23,1364,15.9,0.589,0.194,0.267,10,17.7,13.8,13.7,1.6,1.8,13.8,19,1.7,1.1,2.7,0.096,-0.8,-0.4,-1.2,0.3,5570040,13.9,8.3,2.8,0.9,0.7,1.9,2062977.8,Rising - Above Avg,6.03,-3445246.419
LUKE KORNET,29,BOS,C,73,16,1361,19.6,0.683,0.011,0.346,15.2,15.8,15.5,11.9,1.3,4.8,8.8,11.4,4.8,2.2,7,0.246,1.6,1.7,3.3,1.8,2087519,4.7,5.1,1.6,0.5,1,0.4,298217,Peak - Above Avg,3.1,-21285445.79
TREY LYLES,29,SAC,PF,69,5,1349,12.3,0.551,0.636,0.214,6.6,19.6,13.1,7.9,1.5,1.7,8.7,14.3,1.3,1.2,2.6,0.091,-0.4,-0.3,-0.7,0.4,8000000,7.1,4.3,0.9,0.6,0.5,0.6,3076923.1,Peak - Below Avg,3.165,-681386.9222
JAKE LARAVIA,23,TOT,PF,66,0,1349,12.6,0.591,0.421,0.341,7.2,13.3,10.3,14.6,2.2,1.6,18.2,14.4,1.4,1.5,2.9,0.104,-0.8,1.1,0.2,0.8,3352680,8.1,4.5,3.2,0.9,0.5,1.6,1156096.6,Rising - Above Avg,3.48,-6330405.413
JUSTIN CHAMPAGNIE,23,WAS,SF,62,31,1340,15.7,0.614,0.47,0.178,8.6,18.6,13.6,6.8,2.3,2.6,10.9,15.6,1.6,1.2,2.8,0.1,-0.3,-0.2,-0.5,0.5,1800000,10.9,6.7,1.1,1.3,0.8,1.3,642857.1,Rising - Above Avg,5.44,-7549185.916
PAUL GEORGE,34,PHI,PF,41,41,1334,14.5,0.543,0.47,0.17,2,17.2,9.3,20.9,2.8,1.5,14.7,23.5,-0.2,1.2,1,0.036,-0.5,0.1,-0.4,0.5,49205800,16.3,5.5,4.5,1.8,0.5,2.7,49205800,Veteran - Below Avg,5.605,45866805.03
AUSAR THOMPSON,22,DET,SF,59,48,1328,17.2,0.568,0.107,0.309,9.3,15.9,12.6,14.4,3.5,2.9,13.3,19.1,1.5,2.4,3.8,0.138,-0.8,2.5,1.7,1.2,8376000,7.2,4.3,1.6,1.1,0.3,1.6,2204210.5,Rising - Above Avg,3.75,-4312180.886
DONOVAN CLINGAN,20,POR,C,67,37,1324,17.4,0.574,0.147,0.311,17.3,26.1,21.6,8.3,1.2,7.5,15.9,14.2,1.8,2.2,4,0.144,-1.7,1.4,-0.3,0.6,6836400,5.5,6,0.6,0.5,1.6,1.2,1709100,Rising - Above Avg,3.755,-6519579.88
JORDAN HAWKINS,22,NOP,SG,56,9,1321,9.6,0.504,0.597,0.176,2,11.2,6.5,7.3,1.1,1.7,8.8,21,-0.7,0.1,-0.5,-0.02,-2.4,-3,-5.4,-1.2,4525680,11.2,2.9,1.1,0.4,0.6,0.9,N/A,Rising - Below Avg,4.675,N/A
TYRESE MARTIN,25,BRK,SG,60,11,1315,10.9,0.533,0.606,0.125,4.8,14.6,9.5,14.6,1.3,0.7,13.1,18.8,0,0.9,0.9,0.033,-1.4,-1.2,-2.6,-0.2,635853,6.7,3.1,1.5,0.5,0.2,0.7,706503.3,Rising - Below Avg,3.28,-2369242.473
MASON PLUMLEE,34,PHO,C,74,21,1300,14.8,0.645,0.02,0.634,10.2,28.4,19.5,13.6,1.3,3.4,18.6,10.8,2.4,1.3,3.7,0.136,-1.5,1,-0.6,0.5,2087519,4.3,6.2,1.8,0.3,0.8,0.8,564194.3,Veteran - Above Avg,3.315,-10266762.39
JONATHAN MOGBO,23,TOR,PF,63,18,1286,11.9,0.496,0.197,0.23,8.9,17.3,13,15.3,2.1,2.5,15.1,15,0.3,1.6,1.9,0.071,-2.9,1,-1.9,0,1862265,5.1,4.3,1.6,0.8,0.5,0.9,980139.5,Rising - Below Avg,2.795,-4481825.443
JALEN JOHNSON,23,ATL,SF,36,36,1284,17.3,0.569,0.26,0.232,5.2,26,15.3,20.5,2,2.6,15.1,22.5,0.8,1.6,2.4,0.089,0.5,1.4,1.8,1.2,4510905,19.8,10.1,5.3,1.5,1.1,3,1879543.8,Rising - Above Avg,9.86,-3502682.928
MAX STRUS,28,CLE,SF,50,37,1273,12.6,0.607,0.786,0.091,4.6,13.6,9.2,15.6,1,0.9,12.2,14.7,2.2,1.3,3.4,0.13,1.1,0.2,1.3,1.1,15212068,6,4,2.8,0.3,0.3,0.7,4474137.6,Peak - Above Avg,3.435,3859485.102
JOHNNY JUZANG,23,UTA,SG,64,18,1270,11.8,0.573,0.661,0.112,3.6,12,7.8,7.9,1.5,0.6,6.7,17.6,1.3,0.3,1.6,0.06,-0.9,-1.4,-2.3,-0.1,3087519,7.1,2.5,0.9,0.4,0.1,0.5,1929699.4,Rising - Below Avg,3.13,-2254872.952
RON HOLLAND,19,DET,SF,81,2,1266,11.1,0.556,0.363,0.293,3.5,15.5,9.5,8.9,1.9,1.3,13.3,18.1,0.2,1.5,1.8,0.067,-3.3,0.3,-3,-0.3,8245320,6.3,2.9,0.7,0.4,0.1,0.9,4580733.3,Rising - Below Avg,2.825,2235129.054
JAVONTE GREEN,31,TOT,SG,68,19,1258,10.7,0.541,0.491,0.265,5,13.9,9.4,5.9,2.5,2.4,9.1,11.8,0.7,0.9,1.6,0.063,-2.8,0.5,-2.3,-0.1,2328350,5.9,3.1,0.7,1,0.6,0.7,1455218.8,Veteran - Below Avg,2.82,-3014041.952
NICK RICHARDS,27,TOT,C,57,43,1256,16.6,0.634,0.006,0.461,13.1,27.5,20.4,5.9,0.5,4.2,16.3,17.3,1.8,1.2,3,0.114,-2,-1.3,-3.3,-0.4,5000000,9.3,7.6,1.4,0.3,1.3,1.7,1666666.7,Peak - Above Avg,4.955,-5016984.91
DEAN WADE,28,CLE,PF,59,30,1252,10.1,0.563,0.819,0.111,4.5,16.6,10.8,7.3,1.6,1.4,7.2,10.4,1.3,1.7,3,0.113,-1,1.2,0.3,0.7,6166667,6.2,5.2,1.5,1,0.6,0.2,2055555.7,Peak - Above Avg,3.39,-3850317.91
RICKY COUNCIL IV,23,PHI,SF,73,12,1250,11.6,0.502,0.46,0.33,4.4,15.4,9.7,11.4,1.3,1,8.9,20.3,0.1,0.5,0.6,0.023,-2,-2.3,-4.3,-0.7,1891857,5.7,2.1,0.7,0.3,0.2,0.4,3153095,Rising - Below Avg,2.44,-111539.982
BOBBY PORTIS,29,MIL,PF,49,7,1244,17.7,0.542,0.299,0.123,8.2,27,18,12.9,1.4,1.9,8.3,24.1,0.9,1.9,2.7,0.106,0.6,-0.4,0.2,0.7,12578286,14.1,8.1,2.2,0.7,0.6,1.3,4658624.4,Peak - Below Avg,5.94,3562999.581
JEREMIAH ROBINSON-EARL,24,NOP,PF,66,9,1239,12.9,0.563,0.473,0.159,9.3,18.4,13.7,9.9,1.5,0.5,12.1,14.4,1.3,0.5,1.7,0.067,-0.9,-1.6,-2.5,-0.2,2196970,6.6,4.7,1.2,0.8,0.1,0.8,1292335.3,Rising - Below Avg,3.115,-3479321.449
SIMONE FONTECCHIO,29,DET,SF,75,0,1237,9.7,0.544,0.609,0.225,4.7,14.5,9.6,6.9,1.2,0.9,11.6,15.8,0.4,1.2,1.6,0.063,-2.2,-0.7,-2.9,-0.3,7692308,6.4,2.8,0.9,0.3,0.2,0.8,4807692.5,Peak - Below Avg,2.865,2349916.048
COLE ANTHONY,24,ORL,PG,67,22,1234,14.2,0.531,0.401,0.208,4.1,15.5,9.5,25.5,1.8,2.5,14.8,24.6,0,2,2,0.078,-0.8,0.9,0.1,0.7,12900000,6.3,2.3,2.5,0.4,0.2,1.5,6450000,Rising - Below Avg,3.39,6222010.06
BEN SHEPPARD,23,IND,SG,63,9,1228,9.2,0.555,0.693,0.094,4,12,8,8.6,1.5,1,6.9,11.3,1,1,2.1,0.081,-2.2,0.2,-2,0,2663880,5.4,2.5,1,0.5,0.3,0.3,1268514.3,Rising - Above Avg,2.59,-4348009.437
DANIEL GAFFORD,26,DAL,C,57,31,1226,24.7,0.716,0,0.486,14.1,20.3,17.2,10.2,0.9,7.1,11.9,19.5,4.4,1.5,5.9,0.232,2.7,1.1,3.8,1.8,13394160,11.9,6.2,1.2,0.5,1.4,1.1,2270196.6,Peak - Above Avg,5.045,-6305910.323
JOHN COLLINS,27,UTA,PF,40,31,1220,19,0.628,0.279,0.309,7.9,20.9,14.4,10.8,1.5,3.1,14.6,24.2,1.7,0.8,2.5,0.098,1.4,-0.4,1,0.9,26580000,17.7,8.2,2.5,1.1,0.8,2.6,10632000,Peak - Below Avg,6.815,18232512.57
CALEB MARTIN,29,TOT,SF,45,24,1218,9.6,0.513,0.339,0.322,4.8,11.7,8.2,10.7,1.9,1.8,13.9,14.4,0,0.7,0.6,0.025,-2.9,-0.2,-3.2,-0.4,9186594,9,4.3,2.1,1.1,0.5,1.5,15310990,Peak - Below Avg,4.41,7183197.018
BRANDON CLARKE,28,MEM,PF,64,18,1207,17.6,0.638,0.045,0.229,11.3,17.3,14.3,7.4,2,2.7,8.9,15.3,2.7,1.7,4.4,0.174,0,0.8,0.8,0.9,12500000,7.4,5.2,1,0.8,0.5,0.5,2840909.1,Peak - Above Avg,3.57,-2191577.868
DEANDRE AYTON,26,POR,C,40,40,1206,17.7,0.583,0.068,0.128,10.9,26,18.2,8.5,1.2,2.9,12.2,19.4,1.2,1.6,2.8,0.113,-0.3,-0.4,-0.7,0.4,34005126,14.3,10,1.4,0.9,1,1.8,12144687.9,Peak - Above Avg,6.795,24655940.08
JARACE WALKER,21,IND,PF,75,5,1187,11.9,0.59,0.514,0.192,2.4,19,10.8,12.2,2.2,1.9,16.7,17.1,0.1,1.5,1.6,0.065,-1.8,0.8,-0.9,0.3,6362520,6.5,3.3,1.5,1.1,0.3,1.2,3976575,Rising - Below Avg,2.71,1020128.048
CLINT CAPELA,30,ATL,C,55,41,1176,17.7,0.564,0.003,0.249,15.8,28.2,21.8,7.4,1.4,4.1,9.8,16.7,1.7,1.5,3.2,0.131,-0.6,-0.4,-1,0.3,22265280,9.4,9,1.3,0.6,0.9,0.9,6957900,Veteran - Above Avg,5.39,11580496.1
CODY MARTIN,29,TOT,SF,53,8,1173,11.3,0.509,0.465,0.188,4.8,15.9,10.3,13,2.4,2.7,12.7,14.7,0.1,1.2,1.3,0.054,-2.8,1.1,-1.7,0.1,8120000,8.3,4.7,2.3,1.1,0.7,1.1,6246153.8,Peak - Below Avg,4.36,3779306.539
MARK WILLIAMS,23,CHO,C,44,41,1171,23.9,0.647,0.009,0.365,11.8,29.3,20.3,16.5,1.3,4.5,12,21.4,3.1,1.6,4.7,0.195,2.5,0.9,3.5,1.6,4094280,12.5,7.4,2,0.5,1,0.8,871123.4,Rising - Above Avg,5.465,-11598996.36
PRECIOUS ACHIUWA,25,NYK,C,57,10,1170,13.6,0.53,0.11,0.211,10,21,15.5,6.2,2,3.3,11.2,14.9,0.7,1.7,2.3,0.095,-2.1,0.2,-1.9,0,6000000,5.4,6.4,1.1,0.6,0.8,1,2608695.7,Rising - Above Avg,3.65,-1679688.431
JUSTIN EDWARDS,21,PHI,SF,44,26,1155,11.3,0.559,0.503,0.122,4.3,10.4,7.3,8.9,1.9,1.4,11,16.9,0.4,0.5,0.9,0.039,-2.1,-1.6,-3.7,-0.5,425619,2,0.5,0.5,0.5,0,0.3,472910,Rising - Below Avg,0.9,-2579476.473
JONATHAN KUMINGA,22,GSW,PF,47,10,1144,15.7,0.535,0.266,0.414,5.1,15.6,10.2,14.6,1.6,1.7,9.6,27.4,0.5,1.5,1.9,0.08,-0.5,-0.1,-0.6,0.4,7636307,16.9,5.1,2.2,0.9,0.6,1.5,4019108.9,Rising - Below Avg,5.48,1292216.557
KEVON LOONEY,28,GSW,C,76,6,1142,17,0.535,0.018,0.356,16.9,26.9,21.8,14.3,2,3.1,10.8,13.3,2.2,2.1,4.3,0.182,-1,1.3,0.3,0.7,8000000,4.9,6.8,1.7,0.7,0.2,0.6,1860465.1,Peak - Above Avg,3.525,-6357678.371
KENRICH WILLIAMS,30,OKC,PF,69,7,1132,13.7,0.587,0.483,0.11,6.3,16.3,11.4,11,1.8,0.9,9.5,15.4,1.6,1.9,3.6,0.151,-0.4,0.9,0.6,0.7,6669000,6.3,3.1,1,0.7,0.2,0.4,1852500,Veteran - Above Avg,2.51,-5351381.892
JULIAN PHILLIPS,21,CHI,SF,79,5,1123,10.2,0.571,0.533,0.265,6.4,9.4,7.9,4.4,1.6,1.5,7.8,12.9,1,0.8,1.9,0.08,-2.6,-0.4,-3,-0.3,1891857,4.6,2,0.5,0.5,0.2,0.4,995714.2,Rising - Below Avg,2.075,-4452233.443
AARON NESMITH,25,IND,SF,45,37,1123,14.6,0.653,0.515,0.211,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4,1.9,1,2.9,0.126,0,-0.5,-0.5,0.4,11000000,9.2,4,1,0.7,0.3,0.8,3793103.4,Rising - Above Avg,4.095,1316914.587
DALANO BANTON,25,POR,PG,67,7,1120,12.9,0.497,0.438,0.247,2.8,10.4,6.5,21.5,1.9,2.8,13.3,24.1,-0.3,1.1,0.8,0.033,-0.6,-0.2,-0.8,0.3,2196970,9.2,2.2,2.5,0.8,0.5,1.7,2746212.5,Rising - Below Avg,4.475,-474225.976
BEN SIMMONS,28,TOT,PG,51,24,1120,12.4,0.539,0,0.148,4.6,20.3,12.2,37,1.7,2,30,13.2,0.5,1.3,1.8,0.078,-2.3,1.8,-0.5,0.4,40011909,5.9,5.2,6.9,0.8,0.5,2.8,22228838.3,Peak - Below Avg,5.16,34001718.05
JA'KOBE WALTER,20,TOR,SG,52,18,1103,10.8,0.523,0.473,0.211,5.6,10.1,7.8,10.2,1.9,0.9,10.4,18.2,0.3,0.9,1.2,0.052,-2.3,-0.6,-3,-0.3,3465000,8.3,2.8,1.6,0.5,0.3,0.9,2887500,Rising - Below Avg,3.845,-541793.9641
JAXSON HAYES,24,LAL,C,56,35,1093,15.8,0.72,0.013,0.439,8.3,19.1,13.9,7.5,1.4,4.4,13.9,12.4,2.3,1.4,3.7,0.162,-1.6,1.3,-0.3,0.5,2463946,5.9,4.4,0.7,0.4,0.8,0.7,665931.4,Rising - Above Avg,3.02,-9890335.389
CAMERON PAYNE,30,NYK,PG,72,5,1090,13.8,0.532,0.574,0.121,1.5,9.4,5.5,25.5,1.8,1.4,10,20.8,1.3,1,2.3,0.099,-0.1,-0.2,-0.2,0.5,2087519,6.8,1.6,2.8,0.6,0.3,0.6,907617,Veteran - Above Avg,3.64,-5592169.431
JONATHAN ISAAC,27,ORL,PF,71,1,1090,16.6,0.512,0.466,0.33,12,21.5,16.5,5.5,2.8,7,8.2,16.2,0.8,2.5,3.4,0.148,-1.1,1.8,0.7,0.7,25000000,5.7,4.6,0.4,0.8,1.3,0.6,7352941.2,Peak - Above Avg,3.26,13647417.1
DAQUAN JEFFRIES,27,CHO,SG,47,20,1071,7.9,0.518,0.564,0.103,3.6,10,6.7,7.2,1.2,2.3,10.3,13.5,0,0.6,0.6,0.027,-4,-0.7,-4.7,-0.7,2425404,7.5,2.9,0.6,0.6,0.6,0.8,4042340,Peak - Below Avg,3.245,422007.018
SETH CURRY,34,CHO,SG,68,14,1062,12.2,0.616,0.531,0.114,2.4,9.1,5.7,8.8,1.3,0.6,8.2,15.7,1.3,0.5,1.8,0.08,-0.8,-0.9,-1.7,0.1,2087519,5.2,1.4,0.5,0.5,0.2,0.3,1159732.8,Veteran - Below Avg,2.235,-3922671.946
CODY WILLIAMS,20,UTA,SG,50,21,1060,3.7,0.419,0.525,0.156,2.8,8.7,5.7,7.4,1,1.4,13.8,12.5,-1.2,0.1,-1.2,-0.053,-6.1,-1.2,-7.3,-1.4,5469120,3.5,2.3,1.2,0.4,0.3,0.8,N/A,Rising - Below Avg,1.955,N/A
ISAAC OKORO,24,CLE,SG,55,22,1053,10.7,0.587,0.566,0.172,5.2,8.1,6.7,8,1.5,1.4,7.4,12.5,1.5,1,2.5,0.115,-1.1,0.6,-0.5,0.4,10185186,6.6,2.3,1.7,0.7,0.4,0.4,4074074.4,Rising - Above Avg,3.275,1837698.575
OSO IGHODARO,22,PHO,PF,61,6,1045,11.1,0.61,0.011,0.267,7.2,16.2,11.9,9.1,1.3,2.6,15.7,10.5,1.1,0.6,1.6,0.075,-2.9,0.3,-2.6,-0.2,1157153,3.8,3.7,0.9,0.5,0.3,0.6,723220.6,Rising - Below Avg,2.22,-4185238.952
JARED BUTLER,24,TOT,SG,60,17,1044,15.6,0.549,0.373,0.201,2.5,9.3,5.8,33.8,2,1.2,14,23.6,1,0.4,1.4,0.063,0.5,-1.5,-1,0.3,745726,5.1,0.9,2.3,0.3,0.1,0.8,532661.4,Rising - Below Avg,2.74,-3928866.958
JAMISON BATTLE,23,TOR,SF,59,10,1042,10.7,0.59,0.746,0.052,3.7,12.8,8.1,7.1,0.8,0.9,7.1,15.3,1,0.7,1.7,0.079,-0.9,-1.3,-2.3,-0.1,1000000,6,1.9,1,0.1,0.1,0.4,588235.3,Rising - Below Avg,2.5,-4676291.449
NOAH CLOWNEY,20,BRK,PF,46,20,1042,9.2,0.516,0.702,0.215,4.5,15.8,9.9,5.9,1.1,2,10.2,19,-0.3,0.8,0.5,0.023,-3.1,-1,-4.1,-0.5,3244080,8.7,3.6,0.7,0.3,0.5,0.8,6488160,Rising - Below Avg,3.195,1574582.515
ALEX CARUSO,30,OKC,SG,54,3,1041,15.9,0.568,0.541,0.162,4,12.2,8.2,16.6,4,2.9,9.9,15.2,1.6,2.3,3.9,0.18,0.1,3.9,4,1.6,9890000,5.5,2.9,2.5,1.9,0.6,0.8,2535897.4,Veteran - Above Avg,3.47,-3132080.383
KRIS MURRAY,24,POR,SF,69,6,1040,9.1,0.472,0.43,0.204,7.7,11.3,9.5,9,1.6,1.5,12.4,13.9,-0.2,0.9,0.7,0.033,-3.1,0.1,-3,-0.3,2990040,3.9,2.1,0.7,0.4,0.1,0.6,4271485.7,Rising - Below Avg,1.905,652743.521
DEJOUNTE MURRAY,28,NOP,PG,31,31,1012,15.4,0.494,0.352,0.251,1.8,20.1,10.7,34.6,3,1.1,16.2,27.3,-0.7,0.9,0.2,0.009,-1.3,-0.3,-1.6,0.1,29517135,15.5,6.4,7.7,2.4,0.5,3.9,147585675,Peak - Below Avg,9.24,28849336.01
JALEN SUGGS,23,ORL,PG,35,35,1002,14.4,0.536,0.503,0.229,2.5,14.2,8.1,21.6,2.5,3.2,16.2,27.5,-0.7,1.8,1.1,0.052,-0.8,1.3,0.4,0.6,9188385,16.4,4.1,3.7,1.5,1,2.9,8353077.3,Rising - Below Avg,7.745,5515490.533
KYLE ANDERSON,31,TOT,PF,61,4,1002,15.1,0.538,0.231,0.215,5.7,16.8,11.2,20.7,2,3.1,10,15.9,1.3,1.5,2.8,0.135,-0.6,2.2,1.5,0.9,8780488,5.1,2.9,2.1,0.7,0.4,0.5,3135888.6,Veteran - Above Avg,2.26,-568697.9162
BRANDON BOSTON JR.,23,NOP,SG,42,10,993,12.7,0.535,0.367,0.223,3,11.9,7.3,13.7,2.6,0.9,11.1,20,0.2,0.5,0.7,0.033,-2.3,-0.2,-2.5,-0.1,596581,11.6,3.4,2.7,1.4,0.3,1.3,852258.6,Rising - Below Avg,5.625,-1740715.479
DALEN TERRY,22,CHI,SG,73,5,987,9.6,0.546,0.388,0.257,4.1,9,6.6,12.7,2.1,1.3,15.1,14.9,0.2,0.8,1.1,0.052,-4,0.2,-3.8,-0.5,3510480,4.2,1.5,1.1,0.5,0.3,0.9,3191345.5,Rising - Below Avg,2.105,-162414.4671
ANDRE JACKSON JR.,23,MIL,SG,67,43,980,8.6,0.554,0.386,0.122,7.5,12.5,10.1,10.9,1.7,1.3,21.8,11.9,0.1,1,1.2,0.059,-3.6,0.2,-3.4,-0.3,1891857,3.6,3.1,1.4,0.6,0.2,1.2,1576547.5,Rising - Below Avg,2.18,-2114936.964
ZACH COLLINS,27,TOT,PF,64,12,977,16,0.605,0.351,0.258,11.1,19.9,15.6,15.6,1.4,2.6,15.1,17.1,1.7,1,2.7,0.132,-0.8,0.8,0,0.5,16741200,5.6,3.3,1.7,0.5,0.5,0.8,6200444.4,Peak - Above Avg,2.5,7725913.581
TRAYCE JACKSON-DAVIS,24,GSW,C,62,37,967,18.5,0.587,0.01,0.338,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8,1891857,8.5,5.8,2.1,0.3,0.9,0.8,556428.5,Rising - Above Avg,4.045,-9460725.898
THOMAS BRYANT,27,TOT,C,66,8,963,17.2,0.614,0.461,0.199,9.7,19.2,14.5,7.6,1.4,3.9,7.9,17.1,1.8,1.2,3.1,0.152,0.7,0,0.6,0.6,2087519,4.4,3.1,0.4,0.3,0.6,0.2,673393.2,Peak - Above Avg,2.19,-8263365.407
JALEN SMITH,24,CHI,C,64,2,962,18.7,0.586,0.544,0.218,9.9,28.7,19.5,9.7,0.8,4,7.6,21,1.7,1.3,2.9,0.146,1.5,-0.6,0.9,0.7,8571429,7.8,5.4,0.7,0.4,0.7,0.6,2955665.2,Rising - Above Avg,3.72,-1111656.413
JORDAN CLARKSON,32,UTA,SG,37,9,962,14.5,0.54,0.471,0.29,2.8,10.4,6.6,22.9,1.5,0.9,13.4,27.8,0.2,0.2,0.4,0.021,0.6,-2.1,-1.5,0.1,14092577,16.7,3.5,4,0.9,0.3,2.6,35231442.5,Veteran - Below Avg,7.775,12756979.01
