Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary_USD,PTS,TRB,AST,STL,BLK,TOV,Cost_Per_WS,Performance_Trajectory,PNS,Salary_Gap
PAYTON PRITCHARD,27,BOS,PG,80,3,2271,17.6,0.633,0.723,0.097,4.9,9.8,7.3,18.1,1.5,0.6,8.4,19,6.1,2.5,8.6,0.183,3.4,0.2,3.5,3.2,6696429,15.6,3.8,3.4,0.9,0.1,1,778654.5,Peak - Above Avg,7.21,-22018927.74
KEVIN DURANT,36,PHO,PF,62,62,2265,21.2,0.642,0.331,0.321,1.2,16.9,9.2,19.6,1.1,3.2,12.9,28.7,4,1.2,5.2,0.111,3.9,-0.7,3.2,3,51179021,27.7,6.5,3.8,0.8,1.3,3.3,9842119.4,Veteran - Above Avg,8.325,33816247.16
SHAEDON SHARPE,21,POR,SG,72,52,2252,14.5,0.551,0.428,0.219,3.2,12.7,7.8,14.2,1.3,0.6,11,25.1,1.3,1.7,3,0.064,0,-1.3,-1.3,0.4,6614160,17.9,3.6,2.4,0.8,0.2,1.7,2204720,Rising - Below Avg,7.625,-3402824.91
STEPHEN CURRY,36,GSW,PG,70,70,2252,21.5,0.618,0.623,0.238,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,5.2,2.7,7.9,0.168,6.4,0,6.3,4.8,55761216,22.3,4.8,6.5,1.1,0.5,3,7058381.8,Veteran - Above Avg,10.78,29383155.74
DE'AARON FOX,27,TOT,PG,62,62,2241,18.3,0.56,0.328,0.273,2.7,12.1,7.4,27.2,2,1.1,11.8,28.3,2.6,1.7,4.3,0.093,1.3,-1,0.4,1.3,34848340,26.7,4.9,6.2,1.6,0.3,3.3,8104265.1,Peak - Below Avg,12.325,20490661.63
JALEN WILLIAMS,23,OKC,SG,69,69,2237,20.3,0.573,0.291,0.256,2.9,14.6,8.8,23.4,2.4,2.1,10.3,27.5,3.7,4.1,7.8,0.168,2.7,1.4,4,3.4,4775760,20.9,5.8,5.1,1.8,0.7,2.2,612276.9,Rising - Above Avg,10.04,-21268400.77
DONOVAN MITCHELL,28,CLE,SG,71,71,2232,20.9,0.575,0.48,0.274,2.8,12.5,7.8,23.9,2,0.7,9.2,30.9,4.8,2.8,7.6,0.163,3.8,-0.2,3.7,3.2,35410310,23.4,4.4,4.7,1.5,0.2,2.1,4659251.3,Peak - Above Avg,10.575,10033948.23
HARRISON BARNES,32,SAS,PF,82,82,2230,14.9,0.656,0.527,0.291,4.7,10.3,7.4,8.6,0.8,0.6,6.1,15.7,5,0.5,5.6,0.12,1.7,-1.7,0,1.2,18000000,10.6,3.9,1.5,0.3,0.2,0.7,3214285.7,Veteran - Above Avg,3.59,-698371.8323
JULIUS RANDLE,30,MIN,PF,69,69,2226,17.5,0.593,0.334,0.357,7.3,16.8,12.1,22.5,1,0.7,15.3,25,3.6,2.6,6.2,0.134,1.5,-0.2,1.3,1.8,33073920,20.2,7,4.5,0.7,0.2,3,5334503.2,Veteran - Above Avg,6.655,12372151.19
AMEN THOMPSON,22,HOU,SF,69,42,2225,18.7,0.602,0.131,0.354,9,18.2,13.5,16.9,2.1,3.6,14.6,17.5,4.1,3.9,8,0.172,1.4,2.6,4.1,3.4,9249960,11.9,7.1,2.2,1.1,1.1,1.8,1156245,Rising - Above Avg,6.06,-17461999.76
JAREN JACKSON JR.,25,MEM,C,74,74,2207,19.6,0.591,0.321,0.328,4.4,15.5,10,10.1,1.9,4.7,9.9,28.1,3.2,3.2,6.4,0.139,1.6,0.8,2.3,2.4,25257798,22.3,6.1,1.9,1.4,1.7,2.2,3946530.9,Rising - Above Avg,7.315,3888230.192
DESMOND BANE,26,MEM,SG,69,68,2205,17.9,0.6,0.411,0.194,3,16.9,10,23.6,1.7,1.2,13.3,23.3,4,2.6,6.5,0.142,2.6,0.6,3.2,2.9,34005250,16.5,6,5,1.1,0.5,2.4,5231576.9,Peak - Above Avg,8.345,12301782.69
